user_code,date,company,restaurant,price_paid,delivery_charge,packing_charge,district,state,zone
227,01-01-2019,alpha,Burger Spot,125,0,10,Ernakulam,KERALA,SOUTH
297,01-01-2019,alpha,Cafe Coffee Day,192,0,10,Bangalore,KARNATAKA,SOUTH
297,01-01-2019,alpha,Malini's Health Kitchen,65,0,0,Bangalore,KARNATAKA,SOUTH
394,01-01-2019,alpha,The Bowl Company,292,0,19,Bangalore,KARNATAKA,SOUTH
420,01-01-2019,alpha,Podi Idly,101,0,10,Bangalore,KARNATAKA,SOUTH
420,01-01-2019,alpha,Kataria's Home Food,128,0,10,Bangalore,KARNATAKA,SOUTH
435,01-01-2019,alpha,Salem RR Briyani Unvagam,186,20,0,Kanchipuram,TAMIL NADU,SOUTH
541,01-01-2019,alpha,Scoops,120,0,0,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
541,01-01-2019,alpha,Raju Gari Pulao,619,0,20,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
590,01-01-2019,alpha,Loiee Sweets & Snacks,73,0,0,Kanchipuram,TAMIL NADU,SOUTH
590,01-01-2019,alpha,Ovenstory pizza,296,0,23.81,Kanchipuram,TAMIL NADU,SOUTH
1927,01-01-2019,alpha,For God's Cake,82,0,0,North Delhi,DELHI,NORTH
1927,01-01-2019,alpha,Gopal Foods,63,0,0,North Delhi,DELHI,NORTH
2215,01-01-2019,alpha,Food As Mood,215,0,0,Gautam Buddha Nagar,UTTAR PRADESH,NORTH
2518,01-01-2019,alpha,Burger King,108,0,29,Mumbai,MAHARASHTRA,WEST
3597,01-01-2019,alpha,The Dosawala,70,0,10,Kolkata,WEST BENGAL,EAST
4305,01-01-2019,alpha,Say Cheese(Charni Road),130,0,0,Mumbai,MAHARASHTRA,WEST
7060,01-01-2019,alpha,NIC Natural Ice Creams,125,30,0,Mumbai,MAHARASHTRA,WEST
7148,01-01-2019,alpha,Fried Nation,130,20,0,Thane,MAHARASHTRA,WEST
9089,01-01-2019,alpha,New Chickpete Donne Biryani,175,20,5,Bangalore,KARNATAKA,SOUTH
9747,01-01-2019,alpha,Spice Counter,119,20,10,North 24 Parganas,WEST BENGAL,EAST
9976,01-01-2019,alpha,Ovenstory Pizza,405,0,23.81,Pune,MAHARASHTRA,WEST
9976,01-01-2019,alpha,Wok Express,325,0,20,Mumbai,MAHARASHTRA,WEST
11437,01-01-2019,alpha,QD's Restaurant,405,0,10,East Delhi,DELHI,NORTH
12224,01-01-2019,alpha,Bluenile,180,20,0,Hyderabad,ANDHRA PRADESH,SOUTH
16271,01-01-2019,alpha,Sri Bhagya Grand,260,0,0,Bangalore,KARNATAKA,SOUTH
16271,01-01-2019,alpha,Sri Bhagya Grand,260,0,0,Bangalore,KARNATAKA,SOUTH
16853,01-01-2019,alpha,Hotel Empire,197,20,0,Bangalore,KARNATAKA,SOUTH
18578,01-01-2019,alpha,Nothing But Chicken,380,20,0,Bangalore,KARNATAKA,SOUTH
20189,01-01-2019,alpha,Shah Ghouse Hotel & Restaurant,200,0,0,Hyderabad,ANDHRA PRADESH,SOUTH
20189,01-01-2019,alpha,Shah Ghouse Cafe & Restaurant,189,0,0,Hyderabad,ANDHRA PRADESH,SOUTH
32360,01-01-2019,alpha,The J,205,20,20,Mumbai,MAHARASHTRA,WEST
32965,01-01-2019,alpha,Masala Kitchen,130,20,0,South West Delhi,DELHI,NORTH
34328,01-01-2019,alpha,Shree Sagar Dosa Corner,180,0,0,East Delhi,DELHI,NORTH
36125,01-01-2019,alpha,Haneefa Restaurant,134,0,10,Coimbatore,TAMIL NADU,SOUTH
36125,01-01-2019,alpha,Trupthi Kaapi & Chapthi Corner,104,0,10,Coimbatore,TAMIL NADU,SOUTH
37023,01-01-2019,alpha,Jumboking,80,35,10,Thane,MAHARASHTRA,WEST
37023,01-01-2019,alpha,New Modern Cafe,335,20,0,Thane,MAHARASHTRA,WEST
39433,01-01-2019,alpha,Aggarwal Sweet Place,118,20,0,North West Delhi,DELHI,NORTH
42828,01-01-2019,alpha,Denish The Cake Shop,173,0,0,Mumbai,MAHARASHTRA,WEST
42828,01-01-2019,alpha,Cafe Istaa,284,0,0,Mumbai,MAHARASHTRA,WEST
42828,01-01-2019,alpha,The J,150,0,20,Mumbai,MAHARASHTRA,WEST
44027,01-01-2019,alpha,UFO Fries & Corn,85,0,5,Pune,MAHARASHTRA,WEST
47014,01-01-2019,alpha,SGF- Spice Grill Flame,457,20,0,North West Delhi,DELHI,NORTH
48397,01-01-2019,alpha,Sai Ganapathi Tiffins & Meals,140,0,0,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
49592,01-01-2019,alpha,Subway,237,0,0,Mumbai,MAHARASHTRA,WEST
54580,01-01-2019,alpha,Lafansa Sawarma Cafe,170,0,0,North Goa,GOA,WEST
58011,01-01-2019,alpha,New Biryani Mane,185,20,5,Bangalore,KARNATAKA,SOUTH
64217,01-01-2019,alpha,The Bowl Company,178,0,9.5,Bangalore,KARNATAKA,SOUTH
65814,01-01-2019,alpha,Cold Stone Creamery,170,20,20,Bangalore,KARNATAKA,SOUTH
69560,01-01-2019,alpha,McDonald's,497,20,33.34,Bangalore,KARNATAKA,SOUTH
69771,01-01-2019,alpha,The Bowl Company,186,0,9.5,Bangalore,KARNATAKA,SOUTH
69771,01-01-2019,alpha,Homely,277,0,0,Bangalore,KARNATAKA,SOUTH
69771,01-01-2019,alpha,Mayura viabhav,110,35,10,Bangalore,KARNATAKA,SOUTH
69787,01-01-2019,alpha,Kitchen 6,148,0,0,Bangalore,KARNATAKA,SOUTH
69857,01-01-2019,alpha,Noor Restaurant,240,0,0,Kanchipuram,TAMIL NADU,SOUTH
69857,01-01-2019,alpha,Kulfi Bitz,99,0,0,Kanchipuram,TAMIL NADU,SOUTH
69857,01-01-2019,alpha,Hyderabadi Irani Chai,63,35,0,Kanchipuram,TAMIL NADU,SOUTH
69968,01-01-2019,alpha,Ricos,199,20,0,North West Delhi,DELHI,NORTH
70210,01-01-2019,alpha,Amritsari Food & Caterers,325,0,0,Ghaziabad,UTTAR PRADESH,NORTH
70392,01-01-2019,alpha,Bengali Fun Foods,259,0,20,Bangalore,KARNATAKA,SOUTH
70476,01-01-2019,alpha,E.Sait Biryani Centre,230,20,0,Kanchipuram,TAMIL NADU,SOUTH
70613,01-01-2019,alpha,Kritunga,292,20,0,Bangalore,KARNATAKA,SOUTH
70655,01-01-2019,alpha,Apsara ice Cream,240,20,20,Bangalore,KARNATAKA,SOUTH
70655,01-01-2019,alpha,Dakshin Biryani & Tiffin Services,214,20,14,Bangalore,KARNATAKA,SOUTH
74607,01-01-2019,alpha,Nagarjuna,899,20,25,Bangalore,KARNATAKA,SOUTH
75123,01-01-2019,alpha,Sahara Cafe,149,20,0,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
78191,01-01-2019,alpha,Namma Veedu Vasanta Bhavan,234,45,0,Tiruvallur,TAMIL NADU,SOUTH
80405,01-01-2019,alpha,LITTLE WHITE KITCHEN,174,0,16,Bangalore,KARNATAKA,SOUTH
80405,01-01-2019,alpha,Bake Club,350,0,0,Central Delhi,DELHI,NORTH
80405,01-01-2019,alpha,The Bowl Company,225,0,19,Bangalore,KARNATAKA,SOUTH
276,01-01-2019,alpha,Starbucks Coffee,1197,0,0,Bangalore,KARNATAKA,SOUTH
276,01-01-2019,alpha,Truffles,944,0,0,Bangalore,KARNATAKA,SOUTH
283,01-01-2019,alpha,Punjabi nation,280,0,0,Chennai,TAMIL NADU,SOUTH
354,01-01-2019,alpha,Fauji Dhaba,146,0,0,Gurgaon,HARYANA,NORTH
566,01-01-2019,alpha,Sri Krishna Tiffin Room,149,0,0,Coimbatore,TAMIL NADU,SOUTH
566,01-01-2019,alpha,Shree A0dhaas,595,0,0,Coimbatore,TAMIL NADU,SOUTH
942,01-01-2019,alpha,V4U Cafe & Restaurant,110,0,0,North West Delhi,DELHI,NORTH
2479,01-01-2019,alpha,Dana Choga's Kitchen,168,0,0,Gurgaon,HARYANA,NORTH
2748,01-01-2019,alpha,Jumboking,230,0,0,Thane,MAHARASHTRA,WEST
3416,01-01-2019,alpha,New Durga Corner,220,0,0,West Delhi,DELHI,NORTH
3444,01-01-2019,alpha,Spicy Hub,413,0,0,Lucknow,UTTAR PRADESH,NORTH
6353,01-01-2019,alpha,Kalapi,347,0,0,Ahmedabad,GUJARAT,WEST
6591,01-01-2019,alpha,Ayush Restaurant,99,0,0,East Delhi,DELHI,NORTH
8814,01-01-2019,alpha,Subbayya Gari Hotel,120,0,0,Hyderabad,ANDHRA PRADESH,SOUTH
8814,01-01-2019,alpha,Idly Dosa For You,99,0,0,Hyderabad,ANDHRA PRADESH,SOUTH
9568,01-01-2019,alpha,The Burping Panda,90,0,0,Kolkata,WEST BENGAL,EAST
9568,01-01-2019,alpha,The Burping Panda,90,0,0,Kolkata,WEST BENGAL,EAST
9568,01-01-2019,alpha,The Burping Panda,90,0,0,Kolkata,WEST BENGAL,EAST
9568,01-01-2019,alpha,The Burping Panda,100,0,0,Kolkata,WEST BENGAL,EAST
9787,01-01-2019,alpha,New Paul Dhaba Hatibagan,95,0,0,Kolkata,WEST BENGAL,EAST
10561,01-01-2019,alpha,Hotel Odiani,96,0,0,Khorda,ODISHA,EAST
10804,01-01-2019,alpha,Doughlicious,109,0,0,Gurgaon,HARYANA,NORTH
16786,01-01-2019,alpha,R.B Food Point,164,0,0,Bangalore,KARNATAKA,SOUTH
16792,01-01-2019,alpha,Donne Biryani Hatti Mane,125,0,0,Bangalore,KARNATAKA,SOUTH
18384,01-01-2019,alpha,Dawat E Darbar,230,0,0,West Delhi,DELHI,NORTH
18741,01-01-2019,alpha,Tummy Toll,100,0,0,Pune,MAHARASHTRA,WEST
18741,01-01-2019,alpha,Roties n Curries,187,0,0,Pune,MAHARASHTRA,WEST
24153,01-01-2019,alpha,Haji Ali,419,0,0,Kolkata,WEST BENGAL,EAST
26158,01-01-2019,alpha,Saharsa Restaurant,148,0,0,Varanasi,UTTAR PRADESH,NORTH
26473,01-01-2019,alpha,Shekhawati Thali & Fast Food,60,0,0,Jaipur,RAJASTHAN,NORTH
33222,01-01-2019,alpha,Spenta,163,0,0,Thane,MAHARASHTRA,WEST
33425,01-01-2019,alpha,Bikanervala,105,0,0,Ghaziabad,UTTAR PRADESH,NORTH
35465,01-01-2019,alpha,Navtara Veg Restaurant,142,0,0,North Goa,GOA,WEST
38892,01-01-2019,alpha,Chicken Point,64,0,0,Indore,MADHYA PRADESH,WEST
41732,01-01-2019,alpha,Mahesh Pav Bhaji,69,0,0,Surat,GUJARAT,WEST
42032,01-01-2019,alpha,Mayuri Restaurant,395,0,0,Visakhapatnam,ANDHRA PRADESH,SOUTH
43372,01-01-2019,alpha,Mashi Biryani World,84,0,0,Lucknow,UTTAR PRADESH,NORTH
45223,01-01-2019,alpha,Chhote Miyan,140,0,0,Surat,GUJARAT,WEST
46256,01-01-2019,alpha,Mad Over Donuts,481,0,0,Mumbai,MAHARASHTRA,WEST
53251,01-01-2019,alpha,Bombay Mishthan Bhandar- Sweets,105,0,0,Jaipur,RAJASTHAN,NORTH
55993,01-01-2019,alpha,Maheshwari Chaska Restaurant,66,0,0,Kota,RAJASTHAN,NORTH
59846,01-01-2019,alpha,Shiva's Kabab Corner,314,0,0,Bangalore,KARNATAKA,SOUTH
59855,01-01-2019,alpha,Fun n Food,190,0,0,Jaipur,RAJASTHAN,NORTH
66057,01-01-2019,alpha,Raheem's,118,0,0,Lucknow,UTTAR PRADESH,NORTH
66065,01-01-2019,alpha,Hotel New Sarvottam,100,0,0,Surat,GUJARAT,WEST
66287,01-01-2019,alpha,Honey Buns,50,0,0,Lucknow,UTTAR PRADESH,NORTH
66784,01-01-2019,alpha,Gangour,75,0,0,Surat,GUJARAT,WEST
67117,01-01-2019,alpha,The Tandoori Night,105,0,0,Khorda,ODISHA,EAST
67293,01-01-2019,alpha,Lassi Shop,90,0,0,Kanchipuram,TAMIL NADU,SOUTH
69863,01-01-2019,alpha,Tandoor Express,150,0,0,Thane,MAHARASHTRA,WEST
69876,01-01-2019,alpha,Boomerang,706,0,0,Coimbatore,TAMIL NADU,SOUTH
70263,01-01-2019,alpha,Cluckers Fried Chicken Restaurant,110,0,0,Nagpur,MAHARASHTRA,WEST
70462,01-01-2019,alpha,Hotel Chola,194,0,0,Coimbatore,TAMIL NADU,SOUTH
70558,01-01-2019,alpha,VVS Chettinadu,290,0,0,Chennai,TAMIL NADU,SOUTH
70581,01-01-2019,alpha,Mummy Ki Rasoi,129,0,0,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
70725,01-01-2019,alpha,Hot Chips,209,0,0,Kanchipuram,TAMIL NADU,SOUTH
70725,01-01-2019,alpha,Ganga Sweets,85,0,0,Kanchipuram,TAMIL NADU,SOUTH
70725,01-01-2019,alpha,Ganga Sweets,65,0,0,Kanchipuram,TAMIL NADU,SOUTH
70725,01-01-2019,alpha,Ganga Sweets,99,0,0,Kanchipuram,TAMIL NADU,SOUTH
70940,01-01-2019,alpha,Biriyani Zone,650,0,0,Bangalore,KARNATAKA,SOUTH
72715,01-01-2019,alpha,Shankar Chaat House,99,0,0,Coimbatore,TAMIL NADU,SOUTH
73543,01-01-2019,alpha,MS Food,80,0,0,Ahmedabad,GUJARAT,WEST
74643,01-01-2019,alpha,Shakti Sagar,95,0,0,West Delhi,DELHI,NORTH
122,01-01-2019,beta,Yaa Mohaideen Briyani - Pallavaram,680,0,0,Kanchipuram,TAMIL NADU,SOUTH
603,01-01-2019,beta,Mayura Grand Pure Veg Restaurant,98,0,0,Bangalore,KARNATAKA,SOUTH
805,01-01-2019,beta,Bahar Biryani Cafe - Lbnagar,33.87,0,0,K.V.Rangareddy,ANDHRA PRADESH,SOUTH
2615,01-01-2019,beta,Rolls Hut,49,0,0,Central Delhi,DELHI,NORTH
